ONJECT,WGS84_LIN,WGS84_LAT
1,114.0799562,22.54283918
2,114.0893353,22.54157877
3,114.0166672,22.53910225
4,114.0484229,22.53925167
5,114.0637874,22.53612788
6,114.048286,22.5263276
7,114.061535,22.52228257
8,114.0461429,22.51200031
9,114.0686605,22.52283966
10,114.037143,22.54926611
11,114.099371,22.54275128
12,114.059444,22.53389907
13,114.0710493,22.52790498
14,114.0801083,22.557585
15,114.0354683,22.52938724
16,114.030484,22.55787262
17,114.0920816,22.54785107
18,114.0344746,22.56813183
19,114.0564883,22.57082382
20,114.0099992,22.55316362
21,114.076974,22.54494298
22,114.0497371,22.54066908
23,114.0547088,22.54624784
24,114.0191917,22.53459738
25,114.0257272,22.53521652
26,114.0139593,22.54309277
27,114.0864021,22.55333361
28,114.0479393,22.5441393
29,114.0497505,22.53485639
30,114.0622326,22.55005406
31,114.0039053,22.53739384
